分类,名称,字段,数值,类型
干员,光波,deployRadius,2.00,float
干员,光波,purchaseCooldown,30.00,float
干员,光波,canStandOnGroundAndHighGround,true,bool
干员,光波,isAoEAttacker,true,bool
干员,光波,isHealer,false,bool
干员,光波,baseCritChance,0,int
干员,光波,maxStarRating,1,int
干员,光波,selectQuote,,string
干员,光波,isInitialAvailable,false,bool
干员,净化,operatorName,净化,string
干员,净化,cost,20,int
干员,净化,maxHealth,40.00,float
干员,净化,defense,100,int
干员,净化,attackDamage,8.00,float
干员,净化,attackInterval,2.50,float
干员,净化,attackRange,5.00,float
干员,净化,opType,Medic,OperatorType
干员,净化,deployRadius,8.00,float
干员,净化,purchaseCooldown,18.00,float
干员,净化,canStandOnGroundAndHighGround,false,bool
干员,净化,isAoEAttacker,false,bool
干员,净化,isHealer,true,bool
干员,净化,baseCritChance,0,int
干员,净化,maxStarRating,2,int
干员,净化,selectQuote,伤员交给我，你们只管往前冲。,string
干员,净化,isInitialAvailable,true,bool
干员,圣光,operatorName,圣光,string
干员,圣光,cost,18,int
干员,圣光,maxHealth,50.00,float
干员,圣光,defense,200,int
干员,圣光,attackDamage,12.00,float
干员,圣光,attackInterval,1.50,float
干员,圣光,attackRange,4.00,float
干员,圣光,opType,Medic,OperatorType
干员,圣光,deployRadius,8.00,float
干员,圣光,purchaseCooldown,25.00,float
干员,圣光,canStandOnGroundAndHighGround,false,bool
干员,圣光,isAoEAttacker,false,bool
干员,圣光,isHealer,true,bool
干员,圣光,baseCritChance,0,int
干员,圣光,maxStarRating,3,int
干员,圣光,selectQuote,,string
干员,圣光,isInitialAvailable,false,bool
干员,地面射手,operatorName,地面射手,string
干员,地面射手,cost,20,int
干员,地面射手,maxHealth,20.00,float
干员,地面射手,defense,0,int
干员,地面射手,attackDamage,10.00,float
干员,地面射手,attackInterval,0.40,float
干员,地面射手,attackRange,4.00,float
干员,地面射手,opType,Vanguard,OperatorType
干员,地面射手,deployRadius,3.00,float
干员,地面射手,purchaseCooldown,20.00,float
干员,地面射手,canStandOnGroundAndHighGround,false,bool
干员,地面射手,isAoEAttacker,false,bool
干员,地面射手,isHealer,false,bool
干员,地面射手,baseCritChance,0,int
干员,地面射手,maxStarRating,1,int
干员,地面射手,selectQuote,,string
干员,地面射手,isInitialAvailable,false,bool
干员,奥术,operatorName,奥术,string
干员,奥术,cost,35,int
干员,奥术,maxHealth,22.00,float
干员,奥术,defense,0,int
干员,奥术,attackDamage,55.00,float
干员,奥术,attackInterval,1.80,float
干员,奥术,attackRange,4.00,float
干员,奥术,opType,Caster,OperatorType
干员,奥术,deployRadius,8.00,float
干员,奥术,purchaseCooldown,28.00,float
干员,奥术,canStandOnGroundAndHighGround,false,bool
干员,奥术,isAoEAttacker,false,bool
干员,奥术,isHealer,false,bool
干员,奥术,baseCritChance,0,int
干员,奥术,maxStarRating,4,int
干员,奥术,selectQuote,,string
干员,奥术,isInitialAvailable,false,bool
干员,女战士,operatorName,女战士,string
干员,女战士,cost,21,int
干员,女战士,maxHealth,250.00,float
干员,女战士,defense,6000,int
干员,女战士,attackDamage,9.00,float
干员,女战士,attackInterval,1.00,float
干员,女战士,attackRange,3.50,float
干员,女战士,opType,Vanguard,OperatorType
干员,女战士,deployRadius,6.00,float
干员,女战士,purchaseCooldown,20.00,float
干员,女战士,canStandOnGroundAndHighGround,false,bool
干员,女战士,isAoEAttacker,false,bool
干员,女战士,isHealer,false,bool
干员,女战士,baseCritChance,0,int
干员,女战士,maxStarRating,2,int
干员,女战士,selectQuote,,string
干员,女战士,isInitialAvailable,false,bool
干员,巨蟹,operatorName,巨蟹,string
干员,巨蟹,cost,18,int
干员,巨蟹,maxHealth,800.00,float
干员,巨蟹,defense,5000,int
干员,巨蟹,attackDamage,15.00,float
干员,巨蟹,attackInterval,1.50,float
干员,巨蟹,attackRange,0.00,float
干员,巨蟹,opType,Defender,OperatorType
干员,巨蟹,deployRadius,6.00,float
干员,巨蟹,purchaseCooldown,35.00,float
干员,巨蟹,canStandOnGroundAndHighGround,false,bool
干员,巨蟹,isAoEAttacker,false,bool
干员,巨蟹,isHealer,false,bool
干员,巨蟹,baseCritChance,0,int
干员,巨蟹,maxStarRating,3,int
干员,巨蟹,selectQuote,坚壳如铁，不动如山。,string
干员,巨蟹,isInitialAvailable,false,bool
干员,拳师,operatorName,拳师,string
干员,拳师,cost,14,int
干员,拳师,maxHealth,20.00,float
干员,拳师,defense,200,int
干员,拳师,attackDamage,80.00,float
干员,拳师,attackInterval,1.00,float
干员,拳师,attackRange,3.50,float
干员,拳师,opType,Vanguard,OperatorType
干员,拳师,deployRadius,1.00,float
干员,拳师,purchaseCooldown,3.00,float
干员,拳师,canStandOnGroundAndHighGround,false,bool
干员,拳师,isAoEAttacker,false,bool
干员,拳师,isHealer,false,bool
干员,拳师,baseCritChance,0,int
干员,拳师,maxStarRating,1,int
干员,拳师,selectQuote,,string
干员,拳师,isInitialAvailable,false,bool
干员,时之魔王,operatorName,时之魔王,string
干员,时之魔王,cost,20,int
干员,时之魔王,maxHealth,300.00,float
干员,时之魔王,defense,500,int
干员,时之魔王,attackDamage,35.00,float
干员,时之魔王,attackInterval,1.00,float
干员,时之魔王,attackRange,0.00,float
干员,时之魔王,opType,Specialist,OperatorType
干员,时之魔王,deployRadius,6.00,float
干员,时之魔王,purchaseCooldown,30.00,float
干员,时之魔王,canStandOnGroundAndHighGround,false,bool
干员,时之魔王,isAoEAttacker,false,bool
干员,时之魔王,isHealer,false,bool
干员,时之魔王,baseCritChance,0,int
干员,时之魔王,maxStarRating,5,int
干员,时之魔王,selectQuote,时间，由我掌控。,string
干员,时之魔王,isInitialAvailable,false,bool
干员,星豹,operatorName,星豹,string
干员,星豹,cost,6,int
干员,星豹,maxHealth,180.00,float
干员,星豹,defense,50,int
干员,星豹,attackDamage,25.00,float
干员,星豹,attackInterval,0.50,float
干员,星豹,attackRange,0.00,float
干员,星豹,opType,Vanguard,OperatorType
干员,星豹,deployRadius,6.00,float
干员,星豹,purchaseCooldown,15.00,float
干员,星豹,canStandOnGroundAndHighGround,false,bool
干员,星豹,isAoEAttacker,false,bool
干员,星豹,isHealer,false,bool
干员,星豹,baseCritChance,0,int
干员,星豹,maxStarRating,3,int
干员,星豹,selectQuote,星辉指引猎路。,string
干员,星豹,isInitialAvailable,false,bool
干员,晶,operatorName,晶,string
干员,晶,cost,15,int
干员,晶,maxHealth,200.00,float
干员,晶,defense,2000,int
干员,晶,attackDamage,35.00,float
干员,晶,attackInterval,1.00,float
干员,晶,attackRange,3.50,float
干员,晶,opType,Vanguard,OperatorType
干员,晶,deployRadius,6.00,float
干员,晶,purchaseCooldown,5.00,float
干员,晶,canStandOnGroundAndHighGround,false,bool
干员,晶,isAoEAttacker,false,bool
干员,晶,isHealer,false,bool
干员,晶,baseCritChance,0,int
干员,晶,maxStarRating,2,int
干员,晶,selectQuote,,string
干员,晶,isInitialAvailable,false,bool
干员,武士,operatorName,武士,string
干员,武士,cost,16,int
干员,武士,maxHealth,200.00,float
干员,武士,defense,4000,int
干员,武士,attackDamage,35.00,float
干员,武士,attackInterval,1.00,float
干员,武士,attackRange,3.50,float
干员,武士,opType,Vanguard,OperatorType
干员,武士,deployRadius,4.00,float
干员,武士,purchaseCooldown,15.00,float
干员,武士,canStandOnGroundAndHighGround,false,bool
干员,武士,isAoEAttacker,false,bool
干员,武士,isHealer,false,bool
干员,武士,baseCritChance,0,int
干员,武士,maxStarRating,3,int
干员,武士,selectQuote,,string
干员,武士,isInitialAvailable,false,bool
干员,死亡剑士,operatorName,死亡剑士,string
干员,死亡剑士,cost,5,int
干员,死亡剑士,maxHealth,200.00,float
干员,死亡剑士,defense,80,int
干员,死亡剑士,attackDamage,28.00,float
干员,死亡剑士,attackInterval,0.55,float
干员,死亡剑士,attackRange,0.00,float
干员,死亡剑士,opType,Vanguard,OperatorType
干员,死亡剑士,deployRadius,6.00,float
干员,死亡剑士,purchaseCooldown,12.00,float
干员,死亡剑士,canStandOnGroundAndHighGround,false,bool
干员,死亡剑士,isAoEAttacker,false,bool
干员,死亡剑士,isHealer,false,bool
干员,死亡剑士,baseCritChance,0,int
干员,死亡剑士,maxStarRating,3,int
干员,死亡剑士,selectQuote,亡者无畏，剑无虚发。,string
干员,死亡剑士,isInitialAvailable,false,bool
干员,死囚,operatorName,死囚,string
干员,死囚,cost,20,int
干员,死囚,maxHealth,700.00,float
干员,死囚,defense,4000,int
干员,死囚,attackDamage,20.00,float
干员,死囚,attackInterval,1.30,float
干员,死囚,attackRange,0.00,float
干员,死囚,opType,Defender,OperatorType
干员,死囚,deployRadius,6.00,float
干员,死囚,purchaseCooldown,30.00,float
干员,死囚,canStandOnGroundAndHighGround,false,bool
干员,死囚,isAoEAttacker,false,bool
干员,死囚,isHealer,false,bool
干员,死囚,baseCritChance,0,int
干员,死囚,maxStarRating,4,int
干员,死囚,selectQuote,以命换命，死有何惧。,string
干员,死囚,isInitialAvailable,false,bool
干员,法师,operatorName,法师,string
干员,法师,cost,45,int
干员,法师,maxHealth,30.00,float
干员,法师,defense,0,int
干员,法师,attackDamage,115.00,float
干员,法师,attackInterval,3.00,float
干员,法师,attackRange,4.50,float
干员,法师,opType,Caster,OperatorType
干员,法师,deployRadius,8.00,float
干员,法师,purchaseCooldown,40.00,float
干员,法师,canStandOnGroundAndHighGround,false,bool
干员,法师,isAoEAttacker,false,bool
干员,法师,isHealer,false,bool
干员,法师,baseCritChance,0,int
干员,法师,maxStarRating,4,int
干员,法师,selectQuote,,string
干员,法师,isInitialAvailable,false,bool
干员,火焰战士,operatorName,火焰战士,string
干员,火焰战士,cost,11,int
干员,火焰战士,maxHealth,400.00,float
干员,火焰战士,defense,150,int
干员,火焰战士,attackDamage,55.00,float
干员,火焰战士,attackInterval,1.00,float
干员,火焰战士,attackRange,0.00,float
干员,火焰战士,opType,Guard,OperatorType
干员,火焰战士,deployRadius,6.00,float
干员,火焰战士,purchaseCooldown,18.00,float
干员,火焰战士,canStandOnGroundAndHighGround,false,bool
干员,火焰战士,isAoEAttacker,false,bool
干员,火焰战士,isHealer,false,bool
干员,火焰战士,baseCritChance,0,int
干员,火焰战士,maxStarRating,3,int
干员,火焰战士,selectQuote,烈焰焚尽一切。,string
干员,火焰战士,isInitialAvailable,false,bool
干员,熔岩虫,operatorName,熔岩虫,string
干员,熔岩虫,cost,16,int
干员,熔岩虫,maxHealth,400.00,float
干员,熔岩虫,defense,1000,int
干员,熔岩虫,attackDamage,25.00,float
干员,熔岩虫,attackInterval,1.20,float
干员,熔岩虫,attackRange,0.00,float
干员,熔岩虫,opType,Specialist,OperatorType
干员,熔岩虫,deployRadius,6.00,float
干员,熔岩虫,purchaseCooldown,25.00,float
干员,熔岩虫,canStandOnGroundAndHighGround,false,bool
干员,熔岩虫,isAoEAttacker,false,bool
干员,熔岩虫,isHealer,false,bool
干员,熔岩虫,baseCritChance,0,int
干员,熔岩虫,maxStarRating,3,int
干员,熔岩虫,selectQuote,吞噬，消化，再吞噬。,string
干员,熔岩虫,isInitialAvailable,false,bool
干员,牧师,operatorName,牧师,string
干员,牧师,cost,16,int
干员,牧师,maxHealth,60.00,float
干员,牧师,defense,300,int
干员,牧师,attackDamage,8.00,float
干员,牧师,attackInterval,2.00,float
干员,牧师,attackRange,3.00,float
干员,牧师,opType,Vanguard,OperatorType
干员,牧师,deployRadius,3.00,float
干员,牧师,purchaseCooldown,30.00,float
干员,牧师,canStandOnGroundAndHighGround,true,bool
干员,牧师,isAoEAttacker,false,bool
干员,牧师,isHealer,true,bool
干员,牧师,baseCritChance,0,int
干员,牧师,maxStarRating,3,int
干员,牧师,selectQuote,,string
干员,牧师,isInitialAvailable,false,bool
干员,狂兽战士,operatorName,狂兽战士,string
干员,狂兽战士,cost,14,int
干员,狂兽战士,maxHealth,500.00,float
干员,狂兽战士,defense,300,int
干员,狂兽战士,attackDamage,60.00,float
干员,狂兽战士,attackInterval,1.10,float
干员,狂兽战士,attackRange,0.00,float
干员,狂兽战士,opType,Guard,OperatorType
干员,狂兽战士,deployRadius,6.00,float
干员,狂兽战士,purchaseCooldown,20.00,float
干员,狂兽战士,canStandOnGroundAndHighGround,false,bool
干员,狂兽战士,isAoEAttacker,false,bool
干员,狂兽战士,isHealer,false,bool
干员,狂兽战士,baseCritChance,0,int
干员,狂兽战士,maxStarRating,5,int
干员,狂兽战士,selectQuote,龙血沸腾，战意不止。,string
干员,狂兽战士,isInitialAvailable,false,bool
干员,珑,operatorName,珑,string
干员,珑,cost,20,int
干员,珑,maxHealth,280.00,float
干员,珑,defense,3500,int
干员,珑,attackDamage,15.00,float
干员,珑,attackInterval,1.00,float
干员,珑,attackRange,3.50,float
干员,珑,opType,Vanguard,OperatorType
干员,珑,deployRadius,2.00,float
干员,珑,purchaseCooldown,20.00,float
干员,珑,canStandOnGroundAndHighGround,false,bool
干员,珑,isAoEAttacker,false,bool
干员,珑,isHealer,false,bool
干员,珑,baseCritChance,0,int
干员,珑,maxStarRating,4,int
干员,珑,selectQuote,,string
干员,珑,isInitialAvailable,false,bool
干员,空之魔王,operatorName,空之魔王,string
干员,空之魔王,cost,22,int
干员,空之魔王,maxHealth,120.00,float
干员,空之魔王,defense,0,int
干员,空之魔王,attackDamage,35.00,float
干员,空之魔王,attackInterval,0.40,float
干员,空之魔王,attackRange,5.00,float
干员,空之魔王,opType,Sniper,OperatorType
干员,空之魔王,deployRadius,6.00,float
干员,空之魔王,purchaseCooldown,25.00,float
干员,空之魔王,canStandOnGroundAndHighGround,true,bool
干员,空之魔王,isAoEAttacker,false,bool
干员,空之魔王,isHealer,false,bool
干员,空之魔王,baseCritChance,25,int
干员,空之魔王,maxStarRating,5,int
干员,空之魔王,selectQuote,虚空之箭，无处可逃。,string
干员,空之魔王,isInitialAvailable,false,bool
干员,紫雷狼,operatorName,紫雷狼,string
干员,紫雷狼,cost,7,int
干员,紫雷狼,maxHealth,160.00,float
干员,紫雷狼,defense,40,int
干员,紫雷狼,attackDamage,30.00,float
干员,紫雷狼,attackInterval,0.55,float
干员,紫雷狼,attackRange,0.00,float
干员,紫雷狼,opType,Vanguard,OperatorType
干员,紫雷狼,deployRadius,6.00,float
干员,紫雷狼,purchaseCooldown,15.00,float
干员,紫雷狼,canStandOnGroundAndHighGround,false,bool
干员,紫雷狼,isAoEAttacker,false,bool
干员,紫雷狼,isHealer,false,bool
干员,紫雷狼,baseCritChance,0,int
干员,紫雷狼,maxStarRating,4,int
干员,紫雷狼,selectQuote,紫雷奔袭，迅如闪电。,string
干员,紫雷狼,isInitialAvailable,false,bool
干员,荆棘,operatorName,荆棘,string
干员,荆棘,cost,22,int
干员,荆棘,maxHealth,1800.00,float
干员,荆棘,defense,6000,int
干员,荆棘,attackDamage,25.00,float
干员,荆棘,attackInterval,1.20,float
干员,荆棘,attackRange,1.00,float
干员,荆棘,opType,Defender,OperatorType
干员,荆棘,deployRadius,6.00,float
干员,荆棘,purchaseCooldown,30.00,float
干员,荆棘,canStandOnGroundAndHighGround,false,bool
干员,荆棘,isAoEAttacker,false,bool
干员,荆棘,isHealer,false,bool
干员,荆棘,baseCritChance,0,int
干员,荆棘,maxStarRating,3,int
干员,荆棘,selectQuote,,string
干员,荆棘,isInitialAvailable,false,bool
干员,藤曼战士,operatorName,藤曼战士,string
干员,藤曼战士,cost,16,int
干员,藤曼战士,maxHealth,900.00,float
干员,藤曼战士,defense,6000,int
干员,藤曼战士,attackDamage,12.00,float
干员,藤曼战士,attackInterval,1.50,float
干员,藤曼战士,attackRange,0.00,float
干员,藤曼战士,opType,Defender,OperatorType
干员,藤曼战士,deployRadius,6.00,float
干员,藤曼战士,purchaseCooldown,35.00,float
干员,藤曼战士,canStandOnGroundAndHighGround,false,bool
干员,藤曼战士,isAoEAttacker,false,bool
干员,藤曼战士,isHealer,false,bool
干员,藤曼战士,baseCritChance,0,int
干员,藤曼战士,maxStarRating,3,int
干员,藤曼战士,selectQuote,荆棘为甲，寸土不让。,string
干员,藤曼战士,isInitialAvailable,false,bool
干员,近卫,operatorName,近卫,string
干员,近卫,cost,9,int
干员,近卫,maxHealth,1200.00,float
干员,近卫,defense,12,int
干员,近卫,attackDamage,130.00,float
干员,近卫,attackInterval,1.00,float
干员,近卫,attackRange,3.50,float
干员,近卫,opType,Guard,OperatorType
干员,近卫,deployRadius,6.00,float
干员,近卫,purchaseCooldown,15.00,float
干员,近卫,canStandOnGroundAndHighGround,false,bool
干员,近卫,isAoEAttacker,false,bool
干员,近卫,isHealer,false,bool
干员,近卫,baseCritChance,0,int
干员,近卫,maxStarRating,5,int
干员,近卫,selectQuote,吾之剑，为正义而挥。,string
干员,近卫,isInitialAvailable,false,bool
干员,连弩,operatorName,连弩,string
干员,连弩,cost,14,int
干员,连弩,maxHealth,20.00,float
干员,连弩,defense,0,int
干员,连弩,attackDamage,12.00,float
干员,连弩,attackInterval,0.35,float
干员,连弩,attackRange,5.00,float
干员,连弩,opType,Sniper,OperatorType
干员,连弩,deployRadius,8.00,float
干员,连弩,purchaseCooldown,12.00,float
干员,连弩,canStandOnGroundAndHighGround,false,bool
干员,连弩,isAoEAttacker,false,bool
干员,连弩,isHealer,false,bool
干员,连弩,baseCritChance,20,int
干员,连弩,maxStarRating,2,int
干员,连弩,selectQuote,弓弦已上好，只等你一声令下。,string
干员,连弩,isInitialAvailable,true,bool
干员,醒,operatorName,醒,string
干员,醒,cost,0,int
干员,醒,maxHealth,20000.00,float
干员,醒,defense,5000,int
干员,醒,attackDamage,400.00,float
干员,醒,attackInterval,2.00,float
干员,醒,attackRange,3.50,float
干员,醒,opType,Vanguard,OperatorType
干员,醒,deployRadius,5.00,float
干员,醒,purchaseCooldown,600.00,float
干员,醒,canStandOnGroundAndHighGround,false,bool
干员,醒,isAoEAttacker,false,bool
干员,醒,isHealer,false,bool
干员,醒,baseCritChance,0,int
干员,醒,maxStarRating,1,int
干员,醒,selectQuote,,string
干员,醒,isInitialAvailable,false,bool
干员,钩爪,operatorName,钩爪,string
干员,钩爪,cost,15,int
干员,钩爪,maxHealth,150.00,float
干员,钩爪,defense,1000,int
干员,钩爪,attackDamage,22.00,float
干员,钩爪,attackInterval,1.50,float
干员,钩爪,attackRange,2.50,float
干员,钩爪,opType,Specialist,OperatorType
干员,钩爪,deployRadius,5.00,float
干员,钩爪,purchaseCooldown,20.00,float
干员,钩爪,canStandOnGroundAndHighGround,false,bool
干员,钩爪,isAoEAttacker,false,bool
干员,钩爪,isHealer,false,bool
干员,钩爪,baseCritChance,0,int
干员,钩爪,maxStarRating,2,int
干员,钩爪,selectQuote,,string
干员,钩爪,isInitialAvailable,false,bool
干员,铁壁,operatorName,铁壁,string
干员,铁壁,cost,18,int
干员,铁壁,maxHealth,2500.00,float
干员,铁壁,defense,8000,int
干员,铁壁,attackDamage,12.00,float
干员,铁壁,attackInterval,1.50,float
干员,铁壁,attackRange,1.00,float
干员,铁壁,opType,Defender,OperatorType
干员,铁壁,deployRadius,6.00,float
干员,铁壁,purchaseCooldown,40.00,float
干员,铁壁,canStandOnGroundAndHighGround,false,bool
干员,铁壁,isAoEAttacker,false,bool
干员,铁壁,isHealer,false,bool
干员,铁壁,baseCritChance,0,int
干员,铁壁,maxStarRating,3,int
干员,铁壁,selectQuote,,string
干员,铁壁,isInitialAvailable,false,bool
干员,雪女,operatorName,雪女,string
干员,雪女,cost,40,int
干员,雪女,maxHealth,100.00,float
干员,雪女,defense,0,int
干员,雪女,attackDamage,120.00,float
干员,雪女,attackInterval,2.50,float
干员,雪女,attackRange,4.50,float
干员,雪女,opType,Caster,OperatorType
干员,雪女,deployRadius,8.00,float
干员,雪女,purchaseCooldown,40.00,float
干员,雪女,canStandOnGroundAndHighGround,false,bool
干员,雪女,isAoEAttacker,false,bool
干员,雪女,isHealer,false,bool
干员,雪女,baseCritChance,0,int
干员,雪女,maxStarRating,5,int
干员,雪女,selectQuote,冰封千里，雪舞长空。,string
干员,雪女,isInitialAvailable,false,bool
干员,鹰眼,operatorName,鹰眼,string
干员,鹰眼,cost,16,int
干员,鹰眼,maxHealth,25.00,float
干员,鹰眼,defense,0,int
干员,鹰眼,attackDamage,28.00,float
干员,鹰眼,attackInterval,0.70,float
干员,鹰眼,attackRange,6.00,float
干员,鹰眼,opType,Sniper,OperatorType
干员,鹰眼,deployRadius,8.00,float
干员,鹰眼,purchaseCooldown,18.00,float
干员,鹰眼,canStandOnGroundAndHighGround,false,bool
干员,鹰眼,isAoEAttacker,false,bool
干员,鹰眼,isHealer,false,bool
干员,鹰眼,baseCritChance,25,int
干员,鹰眼,maxStarRating,3,int
干员,鹰眼,selectQuote,远处的东西，在我眼中和近处没什么两样。,string
干员,鹰眼,isInitialAvailable,false,bool
敌人,big boss,lives,1700,int
敌人,big boss,defense,0,int
敌人,big boss,damage,20,int
敌人,big boss,damageforplayer,2,int
敌人,big boss,speed,2.00,float
敌人,big boss,attackInterval,0.90,float
敌人,big boss,attackRange,4.00,float
敌人,big boss,dpOnKill,4,int
敌人,big boss,penetrateDefense,false,bool
敌人,big boss,rangedAttack,false,bool
敌人,big boss,healRadius,0.00,float
敌人,big boss,healPercentOfMax,0.00,float
敌人,big boss,healInterval,0.00,float
敌人,Enemy_enemy,lives,400,int
敌人,Enemy_enemy,defense,0,int
敌人,Enemy_enemy,damage,4,int
敌人,Enemy_enemy,damageforplayer,1,int
敌人,Enemy_enemy,speed,2.00,float
敌人,Enemy_enemy,attackInterval,0.90,float
敌人,Enemy_enemy,attackRange,4.00,float
敌人,Enemy_enemy,dpOnKill,1,int
敌人,Enemy_enemy,penetrateDefense,false,bool
敌人,Enemy_enemy,rangedAttack,false,bool
敌人,Enemy_enemy,healRadius,0.00,float
敌人,Enemy_enemy,healPercentOfMax,0.00,float
敌人,Enemy_enemy,healInterval,0.00,float
敌人,small boss,lives,800,int
敌人,small boss,defense,0,int
敌人,small boss,damage,8,int
敌人,small boss,damageforplayer,1,int
敌人,small boss,speed,2.00,float
敌人,small boss,attackInterval,0.90,float
敌人,small boss,attackRange,4.00,float
敌人,small boss,dpOnKill,2,int
敌人,small boss,penetrateDefense,false,bool
敌人,small boss,rangedAttack,false,bool
敌人,small boss,healRadius,0.00,float
敌人,small boss,healPercentOfMax,0.00,float
敌人,small boss,healInterval,0.00,float
敌人,万录朵,lives,2500,int
敌人,万录朵,defense,0,int
敌人,万录朵,damage,18,int
敌人,万录朵,damageforplayer,2,int
敌人,万录朵,speed,1.00,float
敌人,万录朵,attackInterval,1.00,float
敌人,万录朵,attackRange,4.00,float
敌人,万录朵,dpOnKill,11,int
敌人,万录朵,penetrateDefense,false,bool
敌人,万录朵,rangedAttack,false,bool
